,Thompson,Thompson_epsilon,Thompson_eta,Thompson_epsilon_eta,UCB_beta,UCB_beta_epsilon,UCB_beta_eta,UCB_beta_epsilon_eta,hybrid,hybrid_epsilon,hybrid_eta,hybrid_epsilon_eta,UCB_b1,UCB_b1_epsilon,UCB_b1_eta,UCB_b1_epsilon_eta,ID
132,616.6023951760827,618.906793184108,621.1829730680604,621.1897628708593,634.111292820214,642.3620573070916,635.5424180047182,636.4527791686012,630.3760755516935,633.1433843249158,639.3400941322013,646.5935298930957,626.3622147928215,635.8197069055752,628.1238772956615,634.3012373534045,180
133,381.5637948495208,393.03560935299555,320.9850391478962,326.4931701444784,299.6899500314428,304.2869056797326,285.3083264705821,284.141439062929,303.7114357444675,307.2816437117974,287.2472783386294,297.05713624146887,382.65912344116384,394.64205804200844,368.69038484997594,380.67331554350557,184
134,345.79027972104086,353.46360825619746,328.27603050840446,338.05388930078124,297.9113175953336,285.93968476884766,295.7683613816923,280.08869063843457,305.2440890152533,310.6088700615566,299.2933807394384,296.79609794773063,391.68633001225845,403.66926347261506,395.35176794462257,407.33469970214185,185
135,487.78353213505164,471.1853332739545,472.55446386170814,454.9834949121516,443.99895394929337,436.71420175935316,447.30804752571544,435.1077069632053,454.6685982938965,444.3232192145188,463.1466651934372,448.7726974846617,470.34613293886684,482.3290653144897,474.37689505777115,486.35982312004444,186
136,647.6122270405654,584.9703292971475,500.50518944740463,422.14372756575153,507.19849361300487,509.44615998896074,460.4079765002227,443.58181431514816,491.7091291526303,485.46644810002505,445.7390020243715,433.34872699048356,504.82825310630477,516.7669260098821,469.1661617973221,479.60471143902106,187
138,474.7758345582288,434.21614523171473,476.1504117150704,395.505281580731,448.60189587228336,435.17346462208405,430.72440957947515,382.7835378959079,452.58172176913496,425.31922944857575,414.88750027730924,397.2697143333956,438.21890180065503,440.64915947978426,421.5884692873935,420.17188259441855,189
139,593.2262791608297,560.101756458762,531.9597518591216,497.4291189787779,523.114089371777,528.364373375093,495.73533916717724,495.6103830388513,526.1852900872358,528.2345284185448,516.2124263903023,513.4669193032454,532.7581030288803,544.7410349876706,510.1537435410786,522.1366689469297,190
140,483.4708337604234,423.8916589134726,454.87124804522875,382.3436445772657,441.328770794796,422.4124919477261,422.1096240901467,381.76056292017995,444.12902337893473,408.4057842320539,403.2009830640447,399.63711429748145,434.6955027621588,437.129426345249,416.09491316330235,411.4117024307546,191
141,547.2100762951396,546.0936098915953,557.2936327332868,543.8612506014,620.1036322619491,624.9133089831078,596.3038931392724,591.0594957738102,564.9706588830744,555.3879938957475,563.2519304001855,566.2014904345689,611.2568915410043,619.9615383248585,589.0348872103932,597.9798925372903,192
142,552.7789838396834,533.8381402646709,517.4678076865466,485.99374881542235,505.9119255834873,498.39974818395854,495.9611524218927,464.4147832004772,516.0949187088399,496.70432739355516,504.82326760559516,484.70450557358015,516.2648066807631,528.2477371665655,502.68989381759314,514.6303682862435,193
143,723.6787543504224,705.7696776091623,727.5890236602972,705.2381418690368,719.103514693315,726.8715410704572,718.5478596144676,719.674288157675,725.8029788611493,729.6129571900835,725.2664583752359,734.6870723968558,736.2585906801555,716.6703754550881,739.7039179845185,712.0008291062417,194
144,442.2467579633954,452.81400998625844,446.906377621385,457.62194336995003,448.7357856756137,456.71724842626986,453.99100797784325,458.449071313157,457.38062454915,482.7713311467456,459.6882857901464,467.7705391454225,481.6456539483454,493.6285887214809,484.22262465623754,496.20555366634704,195
145,727.9179588189525,722.306878709011,706.2406646124867,701.8558887858401,743.3367881635332,738.9309627776958,736.9379540373712,711.9849320181962,741.4772622900449,752.2642041649364,721.367599792532,728.3900421428087,759.3740491581434,734.0588725052297,757.9217249118441,720.3065090914992,196
146,728.5265875102391,658.2114134799588,674.558857218975,626.7825859255436,657.6533195703142,657.0566551048881,653.7019945580846,644.8573892282561,665.7736404941589,663.616164948212,648.9720046026299,654.7355114946081,661.5379910347332,653.0094606869399,659.4932731792761,643.8099122900014,197
