,ID,Q_0,gamma_short,gamma_long,eta_short,eta_long,beta_long,beta_short
91,133.0,1.000000259106103,7.969981375762903e-08,1.4146504784412226,3.840676847017376,4.999999609353774,1.0,1.0
92,134.0,2.6457220326621522,3.56545365083497e-07,2.0296176443207155,3.126805552875441,2.6091994769071047,1.0,1.0
93,135.0,1.0000002869228806,1.2366116054299276e-07,3.5017235910322764e-07,3.8739186557747427,2.91780328585963,1.0,1.0
94,136.0,4.2199351847160385,2.1918663858605897e-07,2.3425316657509403,2.753063070733499,1.2480780979659762,1.0,1.0
95,137.0,2.3360669463433408,2.550129692526247e-07,0.22268609347454157,4.522387203243066,4.1431800441453275,1.0,1.0
96,138.0,2.2342831990931793,6.899811690195097e-08,0.4467804969758355,2.0012147055186262,3.9265131223341854,1.0,1.0
97,139.0,4.493447739570771,3.3212481593358244e-07,1.5307202831576525,2.3470164490994767,1.8854574020622705,1.0,1.0
98,141.0,1.9701440477398224,2.7927391170975166e-07,0.8115879155022461,1.6013342931070969,3.867301182801809,1.0,1.0
99,142.0,1.9960561129259973,2.5472863953184086e-07,3.6309859391710586e-07,3.8752034940070015,4.999999773598932,1.0,1.0
100,143.0,1.827015666512733,6.142557590656865e-08,0.7872155681863396,3.5074616845248943,4.589658474771721,1.0,1.0
101,144.0,2.09031776326726,8.811650429450872e-08,2.0879275114661791e-07,3.7092440005224825,3.3783574968753736,1.0,1.0
103,147.0,1.0000004347923235,4.4453998149427373e-08,0.6660156627737724,3.48082306421448,2.480183747390166,1.0,1.0
104,148.0,2.453070515808065,3.3033083310548247e-07,1.9542464581741084,3.539488121611085,1.997177746683817,1.0,1.0
105,149.0,2.1783340425357482,2.9914450564346054e-07,0.825778744384293,1.8335745248551305,1.0283377913393932,1.0,1.0
106,150.0,1.0000004600325523,8.566391941780986e-08,0.5876856236063911,3.0636374962369843,4.9999998191149935,1.0,1.0
107,152.0,1.0000004221389631,1.6406662846757887e-07,3.370462322596355e-07,2.3664455925566146,3.175508673217825,1.0,1.0
108,153.0,1.0000006562660169,2.6125473652507177e-07,2.6568719375341307e-07,2.4917969711369254,2.5899228979049127,1.0,1.0
109,154.0,1.1710453115727415,2.853787481224227e-07,7.401614398485155e-07,4.778163124887598,4.999997619513866,1.0,1.0
110,155.0,2.6045641840560854,2.938021339619314e-07,6.836271704581508e-06,3.5646019504697986,4.204088750362402,1.0,1.0
111,156.0,2.2996248568828186,0.43418971361021097,3.114206560519609e-07,3.2804573731439834,3.9731077882389734,1.0,1.0
112,157.0,1.6163877952834238,4.343459967205888e-07,5.68428288262763e-07,3.1590884338566982,4.810886008684987,1.0,1.0
113,158.0,4.4809483816636115,1.581832188526921e-06,1.360808030155735,1.2078840189096247,0.996825623571226,1.0,1.0
114,159.0,1.000000147741216,6.522506268854338e-08,6.081258884902394e-08,3.790344220212845,3.972826924837744,1.0,1.0
115,160.0,3.205837189463561,4.647308726465295e-07,0.1593397935588335,2.028677836632756,2.7079988619041275,1.0,1.0
116,161.0,4.999995783662558,0.27332568581108996,0.9515369316216015,1.5867162939770627,1.5040075686754872,1.0,1.0
117,162.0,1.0000000069088393,1.2267797323882697e-08,1.7851212009572628,4.052221466284594,4.999999987591067,1.0,1.0
121,166.0,2.5028833226354723,2.713827240545366e-07,0.03623152468012185,2.8657964122494834,3.1046196621479596,1.0,1.0
122,167.0,2.2043868179421766,1.8034071494336146e-07,0.8080504649391756,4.010135800748115,4.999999699497983,1.0,1.0
123,168.0,1.0000006825280128,1.3859953146350003e-07,0.5190775901885188,3.4969179116424165,4.132254004854552,1.0,1.0
126,172.0,1.0000099448979376,2.552632974073849e-07,4.7449933146328586e-07,4.241375302726727,4.999999351682019,1.0,1.0
128,176.0,1.8434197207456227,6.169302169441609e-08,0.05991086634668865,3.6164718942029372,4.316179349932446,1.0,1.0
130,178.0,1.9523995169162867,1.467837391444449e-07,0.09545146874889388,4.379833517601176,4.9999997226309105,1.0,1.0
131,179.0,1.0000008283342838,1.4754876805898314e-07,0.006610691880307159,3.445976250902119,3.9788180309840326,1.0,1.0
132,180.0,2.5499801483747135,3.4300718464501755e-07,0.032389661520806745,2.1403002136238647,2.5874410325462343,1.0,1.0
133,184.0,1.0000052024963,1.994044098467352e-07,1.3954225975029646,3.6445765567802955,4.339095793030472,1.0,1.0
134,185.0,3.899385528460413,0.3856452730192021,1.5812793668890296e-07,0.9059374774166784,2.5955967914966984,1.0,1.0
135,186.0,3.9688991931512363,1.0440743854522923e-06,3.3793964769382945e-06,1.3867803097986808,2.584772363528511,1.0,1.0
136,187.0,1.0000001754038985,7.023962265479563e-08,0.8208018431727804,2.874860211223879,4.999998583984873,1.0,1.0
138,189.0,2.7177388913967353,1.8633984733820703e-07,9.877566264672827e-08,4.773786551955609,4.9999997515096855,1.0,1.0
139,190.0,1.0000013053214218,1.8454090823754544e-07,1.4895120668264713e-06,3.0986152304347296,4.882589268980235,1.0,1.0
140,191.0,2.8311853824426025,2.62875389930059e-07,0.5274020286948471,4.332879864311637,4.999999433376241,1.0,1.0
141,192.0,1.0000000045795592,1.4563277311651767e-08,1.3255781726791172e-08,2.377118110296755,2.228771996760824,1.0,1.0
142,193.0,1.571603032539954,6.256387032592158e-07,3.979098805426842e-07,1.9519855575487906,3.986345109469673,1.0,1.0
143,194.0,2.5949073721814306,6.518608319228538e-06,3.6786252973879397e-07,2.3032197990587164,2.1284818325644954,1.0,1.0
144,195.0,2.7502059124678104,3.725094765226911e-07,0.4192115890466223,2.6997737093075562,2.2779825632087563,1.0,1.0
145,196.0,2.5745874503090977,6.446279880041099e-07,8.525383221662906e-08,3.0048123716760844,2.8872292512323012,1.0,1.0
146,197.0,2.760232893574196,3.0140488711564343e-07,0.40810749322717105,2.4638056795783903,3.303573331737941,1.0,1.0
