,ID,sigma_0_short,sigma_0_long,Q_0,epsilon_short,epsilon_long
169,232.0,0.8489775358275605,0.9137275816242961,5.750609530248898,0.016579363627094838,0.09242157149701127
170,233.0,1.7459294755126646,1.612512875387015,5.765143890051833,0.15013579337021954,0.1509517952547218
171,234.0,1.1360531611906075,0.7539961231467245,1.902781290047456,0.2506333744907901,0.15686897878835718
172,236.0,1.076243544739747,1.7618193723395366,4.045431925911278,1.1165788131566138e-08,1.2194677252367684e-08
173,237.0,3.752359199181707,2.1952971932883045,6.759447035851735,0.19091775137196257,0.23442912137689761
174,238.0,1.462851846002639,1.7975638152901214,6.025367996377057,0.08036972840618352,0.07377095816932791
175,239.0,0.4511565776975444,1.1668036369051267,5.558467640994198,0.4944444824081225,0.4999999987275053
176,240.0,1.6203710389165098,1.0699791227737807,6.363737716570906,0.0560453645108604,0.042664400212263004
178,243.0,1.462851846002639,1.7975638152901214,6.025367996377057,0.08036972840618352,0.07377095816932791
179,244.0,1.0630105428145893,1.1775309525744928,5.414937218991427,0.03165866986545774,0.0880959700862929
183,248.0,1.8381358067923415,1.58809709871542,7.362374995963354,0.05359532416440746,0.07514318015897532
184,249.0,1.0749196877620946,1.1887096839758924,6.609833266236969,0.49999998441203963,0.4999999760229788
185,251.0,0.8670863043500815,1.4323539201071427,3.8176814547587163,1.240120780055732e-08,0.046013111657395564
186,252.0,0.8586053608771036,5.999998801950749,3.276091009798949,1.620582996129563e-08,0.13726856873720655
187,253.0,0.6225869832141814,0.541334209630688,5.601599575472251,0.2997344002514835,0.30291741570900416
188,255.0,1.085389113042153,1.4920504733528908,6.351548650323107,0.03994544309668601,0.04246920475521764
189,256.0,1.4005358101739336,3.2391369513994235,6.092598521325622,0.06390444708632763,0.13000054574384132
190,259.0,0.9881570176855226,1.9804963828086017,5.751900425379895,0.06720342171294051,0.07912171108699625
191,260.0,4.427793739110962,2.3943364774385296,9.20950031147235,0.049068293926960674,0.0721584794478535
192,261.0,1.2435382194541262,1.1213658228144765,6.449185460110402,0.05296217580521016,0.06860378779491777
194,263.0,1.011444384198249,1.0056961693737234,5.406633680475846,0.09257126958188201,0.15700010217487323
195,264.0,1.1080353249284383,1.0847581469397158,6.219481640153526,0.10824345882053471,0.06468344245934057
196,265.0,0.8379431966467296,0.7111884241383373,4.391718322227911,0.07113483430545253,0.16557031954879717
197,268.0,2.7837290197207354,1.5431104531942101,8.734216272364222,0.047827927740294554,0.05592210203990219
198,269.0,5.421932134642471,2.4018865147503417,9.999999103118462,0.0735108945267549,0.052585826203442515
199,270.0,1.5446238221203659,1.5639258690708857,7.265856251626233,0.18017244977257843,0.19929447230814282
200,272.0,0.5683489718351863,0.6717194307859088,4.659059053135154,0.09321130382008516,0.20567646005532284
201,273.0,5.194796798695554,1.8750158789380773,8.880877269104294,0.04929478856180411,0.08849825571486374
202,274.0,3.935463775509078,1.99157094313477,9.029874349143675,0.018770882967196686,0.0034534300810619453
203,276.0,1.1631572577684675,1.1667649326446292,6.66839818292891,0.020462587921996827,0.04093803557071275
204,277.0,1.507065806335783,2.5353964742234454,6.151935897082381,0.04460495009767346,0.03854885447708417
206,279.0,2.199534789750067,1.5450982582357113,7.1255801106297705,0.04399630260616919,0.0375976844981973
207,280.0,1.1859524289041479,4.864043961727168,5.701115286096086,1.2830399675098419e-08,0.027646393665136233
208,281.0,2.133228083336464,1.2411729511388307,7.647133296135282,0.09452046956352803,0.011651047305738543
209,282.0,1.2627275472661386,0.06975721318556465,6.463460472680902,0.49999992272804694,3.640684599117095e-06
210,283.0,2.1531203120912634,1.9936342745350937,8.499306446370088,0.23265886020385995,0.0719483960493382
212,285.0,0.46403158908665953,0.3993512380244934,3.5955544498343093,0.28160864781261086,0.2625965138661905
213,286.0,0.7244600002559106,5.999999852940014,4.297814605639563,1.8427747461934427e-08,0.21380743205628872
214,287.0,1.3157637485411415,1.9953115864925108,3.553838345155273,0.025928841896827183,0.06264342142471255
216,289.0,2.208494379311902,1.2508745344574725,8.556278734593127,0.09952992918794698,0.1405441282497851
217,290.0,0.8586053608771036,5.999998801950749,3.276091009798949,1.620582996129563e-08,0.13726856873720655
218,291.0,0.4762332009380139,0.37213929394209194,5.489530950316496,0.06594395222072186,0.04942916180478657
219,292.0,3.846081507215407,2.2758039556820133,7.456194408931914,0.05591975392116469,0.05291414228616398
220,293.0,2.5996059575160073,2.5875726452230703,9.999999980538952,0.1296023683349377,0.06279371038978508
221,294.0,4.855502614859828,2.267247362056811,9.999999974689375,0.24682186318788607,0.13814314399338903
222,295.0,0.9109545680667835,4.718487467787677,5.189850759670798,0.026938585521392753,0.0465424752317887
223,296.0,0.4874639897561834,0.5882085259955251,4.327681351366198,0.021927558416790654,0.03893824866701525
224,297.0,3.320708656175937,2.086871813731346,9.079465512327175,0.004501003208974257,0.09227666409316441
225,298.0,2.1143862339451935,2.6957654862149663,9.99999998137759,0.016799289678627483,0.04224557793178232
226,299.0,1.2237056228223528,0.9706919666745127,7.029824416170228,0.1880700715076671,0.22885084762108993
227,300.0,4.3314363398169045,2.3205531152432193,9.999999921024758,1.5871492422200385e-08,1.963748680513355e-08
229,302.0,1.9093862015603165,1.1679332706861338,6.485663988293632,0.0909669966568683,0.05310561906690995
230,303.0,0.9843884441441234,1.6354302598445178,5.754636888427837,0.13602890305049073,0.18469902198631094
231,304.0,3.8032947297869946,1.5584881390104617,7.335880392225172,0.03742767779038867,0.07245292224042035
232,305.0,2.9684697852801016,0.16883346757780746,9.999999988452739,0.08247925321115263,0.14982239969339753
233,306.0,1.4476859555672104,1.244810298942158,7.069836667703256,0.15860209467698455,0.2761300252807644
234,307.0,1.0985503746575664,0.8047471514554229,4.524684139561263,0.18266241140921397,0.3147516846885861
