,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long,epsilon_short,epsilon_long
128,176.0,1.0256020151354517,1.0132214627314977,3.321152612443797,1.8847928960555038,2.5626963223199613,0.02114836920708696,0.05544485568615991
130,178.0,0.864927113584886,0.8715752529031756,2.8118177190282836,2.9371841736875672,3.4915486393590967,0.16843876756671314,0.17396999633731608
131,179.0,1.1181123425007933,1.5729328508113212,1.8941924893735937,2.281676169583019,3.1495051848464715,0.013116017728258452,0.05108306512082282
132,180.0,0.6464176517561052,0.7379196449943222,4.577210151107969,0.2526911093749662,0.7187043685640947,0.08084672785132284,0.22777204435284884
133,184.0,0.8731127260019756,0.9710339985830512,4.077870101677361,0.72746055795528,2.320480651966325,0.005040854789207814,0.013281614440872495
134,185.0,1.038766780190155,1.0233784910886647,5.246131732582298,1.301629630699827e-07,1.039036670062583,0.0148521378068525,1.0896480437902782e-08
135,186.0,1.276869074448409,1.2553948823061005,4.4878296749935185,0.7625638829555843,1.8989292604849612,0.03430433427813294,0.047693963039719005
136,187.0,0.8434593472670112,1.2917961796109019,1.6906082634602957,1.7323090363310132,4.999997782207264,0.015740830656736954,0.0826259349368706
138,189.0,1.5147638763444427,1.120784647691237,2.647941727385716,4.795554644308418,4.830355119565202,0.051463863931099606,0.10848014461907222
139,190.0,1.0597399306626636,1.2443615163775597,2.2875831298886204,1.730184187641989,3.4469147317839544,0.031119080774280425,0.07610327290097138
140,191.0,1.2079396346145197,1.2926468584085513,3.6197878321697425,3.3014783686790246,4.999999930935084,0.05555877767174852,0.08849504909957293
141,192.0,0.719796834960856,0.7304039819554892,2.1218171102038625,0.9880306477240763,0.9311380518479137,0.17092935321737457,0.07622689322364756
142,193.0,1.2210442872273908,1.1613058107823937,2.675266652983525,0.8867737018806924,2.7668273235162295,0.08008189300617624,0.07790474806586993
143,194.0,1.3727540462454835,0.9407436089297896,2.3779648344662707,2.417143189469265,1.9885476310258856,0.4025411974898166,0.24884615130148108
144,195.0,0.7261992131334113,0.7370097946811248,4.887791798716885,0.5104649944229702,0.4937126810180744,0.03694467678504455,1.1608215047660459e-08
145,196.0,0.6555454263595802,0.8355311100638968,3.522375022081221,1.686491218422765,1.8743095505929475,0.31678389849177796,0.31671235188525515
146,197.0,1.3262123110889248,1.40726821826547,2.961994111013394,2.147718074429475,4.03397310554961,0.1436637451058666,0.259873646731329
148,201.0,1.2456614996410316,1.2113010343035855,2.9044783933517633,2.6512482096522034,3.032178129317277,0.03813813038239992,0.09967522129384924
149,202.0,1.1760915456215013,0.7702693060692895,1.583393396501914,1.1587191942389685,1.0126242314054439,0.06465525045025904,0.13689681724496658
150,204.0,1.084084119116693,0.7161946124087873,3.9547078309400847,3.981236353605451e-07,1.1724603432893863e-08,0.1837649851452674,0.2818554368683042
151,205.0,0.5742896811374644,0.4770687519145741,4.732064991036842,0.5947533585304982,0.5256251929456753,0.06618065037361553,0.15253922305856202
152,206.0,1.3833542148971854,1.1629320646915062,3.8464298855343113,4.999997448474005,4.678695129683635,0.14983301757632428,0.21132963966919532
