,ID,Q_0,gamma_short,gamma_long,beta_short,beta_long,epsilon_short,epsilon_long,eta_short,eta_long
135,186.0,3.654938498875404,4.952548950615728e-07,0.36489286097150225,3.0500504676609324,2.32190456023709,0.07894318239036502,0.058061233648732016,1.5912582963468962,2.2147699686710403
136,187.0,1.000000020812073,1.8062552385154838e-08,0.5089632996846213,2.0888865281650935,2.6754095740182042,0.03697919353262396,0.1106580191403703,2.9558746824184836,4.999999861409247
138,189.0,2.298448824972271,0.1679251933658365,3.289427878451357e-08,2.2730207169345427,6.213299702894283,0.07882261777444562,0.1252435719229444,4.580883245584098,4.999999972985867
139,190.0,1.0000018893212506,1.9141583892623e-07,6.144925894515061e-07,2.5755594036134486,1.4411369518199175,0.0502150019837677,0.0551053647639567,3.24089106382573,4.7502777197413675
140,191.0,3.0037774282238767,8.584138265634746e-08,1.6925764137786782e-07,2.344450451675129,3.0661995214418485,0.06526350735704894,0.09967140660592246,3.7439392117767576,4.999999898669606
141,192.0,1.0000000136655434,2.334382800846039e-08,2.0743357038510727e-08,1.7499093025943138,2.076456168043229,0.17703239054246722,0.10475401547788966,2.5268295927989217,2.4528764215240835
142,193.0,1.1545319620455405,2.1136330672443418e-07,1.0903643348193714e-06,7.674379919815621,2.0580801643929107,0.136354034575197,0.10498752373999135,2.7767771224766027,4.286352812323691
143,194.0,1.000000995796747,5.493068083304567e-07,2.09284398276443e-07,0.7097758531059728,1.7079125499270325,0.16209534496632316,0.24718827015774889,3.755475911598084,3.6136305578554984
144,195.0,2.981837880066003,9.08521670694824e-08,1.0007895296282219,2.6975947275404235,1.9077110180648367,0.09609242081295885,3.2859715032858472e-09,2.371531994211086,1.3776143090457604
145,196.0,1.000005716169532,1.4566638558784494e-07,1.590478756337208e-06,14.01871093857292,7.1348006774756545,0.44486563664198053,0.41663525347711067,4.76602748920725,4.73604003428452
146,197.0,2.4020951434674425,6.437380325744401e-07,6.325385455102543e-07,1.8262587493644835,1.6790782987200108,0.15954904822114516,0.2837045232099081,2.6997962586434197,4.469629302037611
148,201.0,1.0958929326752613,2.169626637356739e-06,9.786413569420496e-07,1.730315776530166,3.4520620031131015,0.05178675745476219,0.15138420870059563,4.361172088033615,4.649583148825787
149,202.0,1.0000001063634036,1.4091168262541643e-07,7.368659425685288e-08,1.6448292880311293,2.057673468011607,0.05190269004967533,0.1535145447955525,2.0009908853278127,2.101075445610453
150,204.0,3.143115155165486,0.0018843229945759998,3.615547046942832e-07,1.0707503170278607,0.7460011984700521,0.04152503609734483,1.9559102855288987e-07,0.7897467616757886,0.238186035916867
151,205.0,1.0000031453070362,0.8192031480578748,1.9095416194320584e-07,1.6906835145310661,2.6399933255072687,0.10931856916794894,0.24791864948419692,3.4877208097273247,4.304503336185857
152,206.0,3.8908150018902257,1.1431140787744514e-07,8.318916120206322e-08,4.832606344349006,4.6111830620449075,0.19375421305753218,0.2348460552369394,4.999999955465627,4.698317664904464
153,208.0,2.403666306764506,0.20550743776403568,2.4672338417970574e-07,1.985266149096669,3.5922409134328377,0.05800029921156271,0.12037649313385673,3.088906703660775,4.9999970273470895
155,213.0,4.99999121461916,0.8843728717265421,0.9950494065384737,2.674235103606676,2.8525326036217784,0.0631287770102101,0.08778730763024543,0.14538274210674498,0.3333570581392897
156,214.0,1.0000002455377328,1.1611539642462435e-07,2.9850672202940524e-07,1.8510559260795838,1.8922711906092677,0.05713710415445536,0.25661093205403857,2.8012603634629376,3.2345627767175285
157,215.0,3.155538166217304,2.4245167525320186e-07,0.5789181497226308,4.213569539273957,2.781000293452755,0.11049313112498704,0.07472849396225711,4.999996625348412,4.999999418003914
158,216.0,1.0000000802489601,8.326940505763971e-08,3.8325838275026195e-08,1.4999639660511348,1.9995626074093986,0.09640890107917768,0.1338909573413415,3.441294628984685,4.126136109173032
159,217.0,1.00000004133145,3.9179499033509305e-08,6.533754734193277e-08,1.4073089728563986,1.9046333726339475,1.0536296795900848e-08,0.21886319734693405,2.432775575656963,4.077278368439413
160,220.0,1.405810749051012,0.2835884365919197,1.9159723378791748e-07,3.238358722479705,2.9460766854234324,0.0697744044250024,0.10173136871245717,3.819542265801734,4.731330857044743
