,ID,sigma_0_short,sigma_0_long,Q_0
257,333.0,0.2540636183939412,0.19499384300112502,6.675391829688898
258,334.0,0.7923343245226067,0.4765787633973568,5.660207658707376
259,335.0,0.7792886472327658,0.789268141183424,3.552768725790244
260,336.0,0.8356060361349462,5.999999996687263,3.6929972284904946
261,337.0,1.8777852015058656,1.8590721624162996,5.477136404395286
262,338.0,0.20779067570555165,0.2014726266010141,5.747721006640035
263,339.0,0.24384596063060252,0.3556939825818219,4.325989871460048
264,340.0,0.2810582513612737,0.33317187445982105,6.394596784280126
265,341.0,0.9417810775052241,0.1412477132063694,5.155033921932796
266,342.0,0.6568104924663136,0.48375787276697146,6.600728704925692
267,343.0,1.386097826510815,1.1300634163721017,6.480095880649567
268,344.0,1.2750394976010238,0.8214087659404115,6.906535807837915
269,345.0,1.112718722722091,1.1636885732411992,5.134408179876265
270,346.0,0.7265111539843635,0.4196842038113368,6.193877413438219
271,347.0,0.2342013250817064,0.15030988997901665,7.799710105117503
272,348.0,2.2792338385548168,0.26885860426380376,6.794612624348006
273,349.0,0.25624092530956016,0.3003908464930863,4.690791897288449
274,350.0,1.196340303165865,1.582277006703404,6.76959350669078
275,351.0,3.497710372431007,4.234939712250297,9.4726707652276
276,353.0,0.5867426552121024,0.2468986687263604,6.255837674497503
277,354.0,1.61848642619668,1.54800903706572,7.305858629307943
278,355.0,0.17894554458051184,0.21826260341142012,7.110498741895129
279,357.0,3.8067993164518943,2.8908027845939275,9.858098412834881
280,358.0,0.30852567894947003,0.20174657574988764,4.444668434065773
282,360.0,1.0646972350083028,0.9987002096090721,5.830508660544692
283,362.0,0.22965507878178526,0.25397573500068255,3.371251671845328
284,363.0,2.8334911326123478,2.309067321960812,9.999999995551768
285,364.0,1.731337990237706,1.094705044649221,7.00211982049377
286,365.0,0.8113332033379409,0.3200009574538902,6.5201859782375795
287,366.0,0.7508654564504516,0.9554287848437525,5.913955217342814
288,368.0,0.34172406783750936,0.15246498645618456,4.41299440173521
289,370.0,0.32558184445159516,0.28319498132328935,5.628708546690118
290,371.0,0.8706855596097255,1.2056140735211323,4.539378226401096
291,372.0,1.4279937127472102,0.8441451003839673,7.939917148850309
292,373.0,2.01664426661005,2.0455985320628995,7.681477134214011
293,374.0,2.487886698183173,1.3368649040082279,8.268273950425483
294,375.0,5.546751865126316,3.138075915409301,8.989716664595358
295,376.0,1.133405515275255,1.204127061433403,5.822179062004849
296,377.0,3.601142994255018,3.414093334966606,9.99999879424694
297,378.0,1.3268313085193466,0.9512202128999471,5.51300175027171
298,380.0,0.19831391519452957,0.20624910560480206,6.0846457992762915
299,381.0,3.4096919130309473,3.6077520896181463,7.949196561641617
300,382.0,5.999999990763878,1.702866156641781,7.666074531574822
301,383.0,2.4202251388024694,0.7901431932027742,6.545211823532532
302,384.0,0.6929619991332258,0.7105928969204967,5.474281641993558
303,385.0,0.5143342434850472,0.3710366135089059,2.7521778076665906
305,387.0,1.6122527290138609,1.6387654685576432,6.977282454042913
306,388.0,0.47413810396812034,0.4610781481166968,5.150799003362046
307,389.0,0.18385773594565907,0.6919420905680626,6.069821533518277
308,390.0,0.2210285857236549,0.24461508587423228,5.721404978328415
309,391.0,3.3733685248459797,2.4436742212343203,6.917534201857954
310,392.0,1.257589133775627,1.178844374310393,5.444943565883388
312,394.0,0.11331344730840755,0.08265836509198916,1.6411601987774163
313,396.0,1.38578001269268,1.7804448888222233,7.650091507285423
314,397.0,1.4287713113154148,1.6800268194442927,6.145497155581732
315,399.0,0.26045624614048946,0.6660613564720897,4.352172100273742
316,400.0,0.2514509593006197,0.17253890623269016,5.6488374822821426
317,402.0,1.2072650353094523,1.8536672547118527,6.088811684456121
318,403.0,1.051973700020393,1.2138632467211,5.361298480867024
319,405.0,5.999998581281043,1.4682728501844537,7.3729036682510944
320,406.0,2.1065665448481763,0.809470445231139,6.7872728053638305
321,407.0,0.5032649718546245,0.38485480523219967,4.867769115084027
322,408.0,0.9042500670346506,1.1618704732117298,4.28766206481309
323,409.0,1.1387082404334283,5.9999999956641314,2.5689445240864606
324,410.0,0.8182480231050638,0.570190700783222,5.765080429062134
325,412.0,1.887460063564657,3.398501085512625,2.4716867906266877
326,414.0,1.4098871083166955,1.8136234712118118,5.635423963071206
327,416.0,1.1554920527918584,1.052964375694931,6.115911982641699
328,418.0,0.46308768446136417,0.22179597644354968,6.429749682602848
329,419.0,0.22499039417572256,0.20294004043081637,6.257115211238814
330,420.0,1.0204919252896802,0.9661849336711803,5.543247988250007
331,421.0,0.2001800774842706,0.12016118275663348,5.047643579891206
332,422.0,0.32081520950952985,0.21260128390906774,6.032549955402308
333,423.0,1.6201251874893063,1.486369567976199,3.525579676886085
334,424.0,0.2974038818190507,0.24905591762659976,4.571146245506943
335,425.0,2.4426613590968906,1.2307107788125373,7.286053700256285
336,426.0,0.3049892353696519,0.48678944694312026,4.677161917289327
