,ID,sigma_0_short,sigma_0_long,Q_0,eta_short,eta_long
348,438.0,0.7980348272241128,0.8592578260155246,4.579603855299366,1.2151697493782834,1.7472349275057513
349,439.0,0.5606207584645078,0.05815401000687533,4.956926305256036,0.7119437273615652,0.14089746288174873
350,440.0,0.17160638133533815,0.15920614940597175,4.837049640451736,0.21133206875243354,0.14431637590945715
351,441.0,1.1830381785051434,1.1412069655076362,3.776941687947994,1.3143578556796434,2.412134287606908
352,442.0,0.8362286749106149,0.18801499278870926,4.444853554487539,1.3943849372845685,0.43577547716223536
353,443.0,1.1857959648262293,1.0720229135006492,3.858507285732077,0.1976710781437797,2.095803531323577
354,444.0,0.19407836025750808,0.12468370827535544,5.264916495394533,0.30809074221991156,0.18183841232076184
355,445.0,0.8038440694033865,0.19941481324632632,5.108329388056539,1.1198390372802862,0.4066716645934193
356,446.0,0.7989046833189912,0.8324682646377026,4.209894294957053,0.9253059910818417,1.0300871818714852
357,447.0,0.15748219741904873,0.13573813088419148,4.436203706494917,2.738151648361112e-09,0.017457230244351793
358,448.0,0.9627312435417009,1.3182391255882382,3.4652668203644317,1.4179333232740214,3.408637695129468
359,449.0,0.3967700893185016,0.1724254873622136,5.08416051453332,0.060234025632037176,0.002918869141304665
360,450.0,1.1125595502429515,0.2806391137302054,6.307139914224071,0.014391052290813899,0.2961071858901855
361,451.0,0.20424219164197388,0.1329391145641082,4.317702420784392,0.10400559078735953,0.04617649987552495
362,453.0,0.19904396568875893,0.14107588439544044,4.550293568555688,0.26444539398202865,0.23709702138316263
363,454.0,0.30867105203285633,0.2955794917648886,4.789503531630834,0.4539656102073955,0.5281519092011143
364,455.0,1.4060651505872734,1.7459685630478876,6.875351339601422,0.5328462708568001,1.4818809261711792
365,457.0,0.42622443946359284,0.21391995378408654,6.900785214368866,0.08654927529403138,0.39334152147605905
366,458.0,0.6313895070825419,0.3286147078679611,4.9315121520905265,0.8539298207842423,0.5102936138597696
367,459.0,0.3864443137797652,0.23815845595176036,4.551195453567763,0.5352703744481383,0.2892987694053486
368,460.0,1.2156730011506698,0.45347921061187696,5.808238681442464,0.9375493908865309,0.6950544144112188
369,462.0,0.22070917996660402,0.18136900804217815,4.888908063861609,0.1464055121068256,0.13884149467696985
370,463.0,0.7092410302864469,0.22064848376432036,3.6219131835139566,0.29977718870760534,0.30021849711301357
371,464.0,0.20718313850765505,0.19765433391530585,4.312715054612666,0.27420999827018067,0.41696306170627667
372,465.0,1.179232583405031,1.7661018276847875,1.4933263362061717,2.2942130393219133,4.488948315148904
373,466.0,0.6615520192500348,0.26804205490522687,4.79134955338668,0.17799482964013297,0.31943873949874696
374,467.0,0.238440389220623,0.09217020083120112,5.222532245768898,0.40078453455732255,0.1639688883175447
375,468.0,0.3346069781056339,0.2503747339804324,4.362349777363191,7.689224240078628e-09,0.00223136310771118
376,469.0,0.5901409663894762,0.5541506124171898,4.848948607325906,0.5276838436936885,0.5781463939299618
377,470.0,1.2540515947864712,2.2018799557912576,4.8728527377510815,1.8755108160631984,3.928834836554187
379,472.0,1.0202225120712225,1.5143568648336578,3.293868710720474,1.1600603501853346,3.978942492067769
380,473.0,1.219017971491135,1.4289714774064055,2.282143451776173,2.680691944382808,3.930046692541328
381,474.0,0.2942108508827307,0.26651442212261384,4.3592067933494025,0.2842795167233237,0.36701044845493214
382,475.0,1.0290339215827007,0.12110016104257779,4.248229586044428,0.6819950933865375,0.23753679603589825
383,476.0,1.5745521862585081,1.1279848011723266,4.043415523867549,1.6608974124440845,2.0384956727029158
384,477.0,1.0326719873421877,2.5117886591635745,4.36002341411078,2.3969165960845684,4.999999879061134
385,478.0,1.1293824922319908,2.983203698630006,3.2796470660938684,2.6186851579959063,4.999999865643361
386,479.0,0.2496113531100761,0.14374940112077503,3.553137282189175,0.07844538531614302,0.0094745296425475
387,480.0,0.941301608590635,0.863179725503966,6.23867052055495,0.8451055670002151,1.3849767579858079
388,481.0,1.0191646204444988,1.1449242519069416,3.6460574994179575,0.030227463977169813,0.07641168142865269
389,482.0,0.4608811820686704,0.20696190107662948,4.7414763249065786,0.0805078808228023,0.08050305595581743
390,483.0,1.012779748355629,0.98585534421715,4.367381757593796,1.516619706864148,1.877918430554959
391,484.0,0.615583700784873,0.9238735775298004,3.9311103867173673,0.3217247521091277,1.1111054868630763
392,485.0,0.2648354385833382,0.1614664204797595,4.656981449392656,0.18301791271031306,0.10961382045590429
393,486.0,0.37234024229536083,3.8880876092893004,4.404770678501935,0.6257389654985868,4.848448555557295
