,ID,Q_0,gamma_short,gamma_long,beta_long,beta_short
164,226.0,6.520102536778079,1.7150251146204096e-08,0.3591182848265899,1.0,1.0
165,227.0,6.2777308923139445,2.1603661791932703e-07,0.5649633881805595,1.0,1.0
166,229.0,4.068890178331475,1.2900686934239929e-08,2.36618447028642,1.0,1.0
167,230.0,5.431603450737362,1.4452936836638972,1.540563385221397,1.0,1.0
168,231.0,4.842682045561638,5.25396786962869e-07,2.6465911012644665,1.0,1.0
169,232.0,5.9077814815840295,1.0837156207975315e-07,0.3674511971053336,1.0,1.0
170,233.0,5.186221679148345,1.390346892145164e-08,1.3849458466105675,1.0,1.0
171,234.0,1.9081759607739248,0.44307819943308896,1.012341391485372e-07,1.0,1.0
172,236.0,3.693215934653208,1.3894358813004353e-08,0.973058718089579,1.0,1.0
173,237.0,6.083235335312911,1.378249337030633e-08,0.31360595458021523,1.0,1.0
174,238.0,6.2013437414155845,1.0619420770383757e-07,0.023587369019878155,1.0,1.0
175,239.0,4.9700689698767375,0.21510108312138623,0.8189920877636002,1.0,1.0
176,240.0,6.048800249034327,1.3059121976126878e-08,1.1211258828174875,1.0,1.0
178,243.0,6.201343195941667,1.061945028077726e-07,0.023588182314509206,1.0,1.0
179,244.0,5.341743847466925,1.9085394037776298e-08,0.5263131908590203,1.0,1.0
183,248.0,7.2875766921928244,1.8490678218278665e-07,0.2713252445796079,1.0,1.0
184,249.0,3.074000705924947,2.9999989745239106,2.793910332327411,1.0,1.0
185,251.0,3.7964485351504744,1.4345947513284987e-08,0.21392167126278935,1.0,1.0
186,252.0,2.8194909599495146,7.893504035681228e-08,2.5779409988432347,1.0,1.0
187,253.0,5.797657487757858,5.058658604869327e-07,5.054107538115106e-07,1.0,1.0
188,255.0,6.663277602949391,1.2976787203021193e-07,0.015879161362223733,1.0,1.0
189,256.0,5.7210050743457375,1.5725058595504147e-08,1.4742654970417555,1.0,1.0
190,259.0,5.780733189661595,1.0874093245214031e-07,0.6569547846503926,1.0,1.0
191,260.0,7.138981118475778,1.576612690917463e-08,1.5763255142988826,1.0,1.0
192,261.0,6.334872766806106,3.1990911835284257e-07,0.7059743037462032,1.0,1.0
194,263.0,5.604712111017729,9.116539902656646e-08,0.23077005451111857,1.0,1.0
195,264.0,6.2164796016971,1.6198220666566703e-08,0.5581007107211176,1.0,1.0
196,265.0,4.441600420145457,1.4884448906378942e-07,0.014724782535464123,1.0,1.0
197,268.0,7.195761818662637,4.055406866061664e-07,2.1914282232000253,1.0,1.0
198,269.0,7.339327517803931,1.512292095668549e-08,1.8936399847430094,1.0,1.0
199,270.0,6.9551415663533716,6.048471293484827e-07,0.12333302795834367,1.0,1.0
200,272.0,4.378639490502487,1.503246711036151e-08,0.6819529320159458,1.0,1.0
201,273.0,6.940074720481596,1.564259524942562e-08,1.6726736897310033,1.0,1.0
202,274.0,7.1201417747305875,1.49299772720673e-08,2.337112306717536,1.0,1.0
203,276.0,7.0277754747437875,1.737096623542921e-07,0.13470123576360118,1.0,1.0
204,277.0,5.768032773023668,1.5102288119244462e-08,1.355527092690896,1.0,1.0
206,279.0,6.553298021613583,1.893202698186491e-08,1.0895353330690503,1.0,1.0
207,280.0,6.0585472245354755,1.2795537812360223e-08,0.4763842409003113,1.0,1.0
208,281.0,7.1215866810421335,1.7432738735343478e-08,1.1257112615385578,1.0,1.0
209,282.0,4.297097475823197,1.659627020034562,1.1138193773974365,1.0,1.0
210,283.0,7.249928976112288,2.0556616477515767e-08,0.905649487024713,1.0,1.0
212,285.0,3.7025642767293654,9.571676670104266e-08,0.3211487927759488,1.0,1.0
