,ID,Q_0,gamma_short,gamma_long,epsilon_short,epsilon_long,beta_long,beta_short
91,133.0,5.388961926131609,2.2912340134828907e-08,2.76155051683667,1.3377379872607404e-08,0.03995149678007598,1.0,1.0
92,134.0,6.271951540212292,1.920908213123926e-08,1.8202257252523788,1.0365174338599716e-08,0.06546697651501311,1.0,1.0
93,135.0,4.519692864096033,0.6555402839422728,8.473217140294659e-08,5.2937323874549805e-08,0.1968820682402245,1.0,1.0
94,136.0,7.580704755751352,3.248693841796501e-07,0.9851465517571074,0.05405495969009642,0.11451989811569636,1.0,1.0
95,137.0,7.622485636414573,1.6405908857857398e-08,2.2316951920466906e-07,1.1453542340826478e-08,0.09102850151613402,1.0,1.0
96,138.0,4.615313968747582,1.6063005471184624e-08,2.6863700635156826,1.0250669513049495e-08,0.0777761074744091,1.0,1.0
97,139.0,7.229592820387071,4.0297071141253834e-08,1.1879982210837872,1.0538448200695194e-08,0.026953855010174426,1.0,1.0
98,141.0,4.0311825435081525,2.3436941159751543e-08,2.9999999695584747,0.011897548393786716,0.059083586453998235,1.0,1.0
99,142.0,6.618348025084401,9.566251278745615e-08,0.9554521544385778,2.5382450151812815e-08,1.65576326182844e-08,1.0,1.0
100,143.0,5.937448964941579,1.585232578438405e-08,1.8809516199481149,1.0303947667077254e-08,1.0247469826066344e-08,1.0,1.0
101,144.0,6.157935403488375,0.13632229972831247,3.57922044306104e-08,1.7783122088907318e-08,0.04021831541303899,1.0,1.0
103,147.0,4.8280619710265595,0.03613970120779663,1.0225826268887461e-07,0.0006992470406271951,0.17835695721217223,1.0,1.0
104,148.0,6.567387975332677,2.166883953982365e-07,1.0148374898355834,0.008493121879141934,0.31242525761655754,1.0,1.0
105,149.0,4.054271343008967,1.7002274696836594e-07,2.2988807958044696e-06,0.17372121116585518,0.2614623213265186,1.0,1.0
106,150.0,4.647153058524319,5.3358005559372385e-08,2.99999989550143,0.20590506042735204,0.3039657405215974,1.0,1.0
107,152.0,3.7803991755500856,1.4524216392872197e-08,0.5798565011030437,1.0822672927636399e-08,0.10498080933659748,1.0,1.0
108,153.0,3.8972864622882386,1.4846731453675223e-07,4.1237492923616514e-07,1.746092370019424e-08,1.5843423228618207e-08,1.0,1.0
109,154.0,6.765621938042671,3.109232256005815e-08,0.10902112673323555,1.2165424793720733e-08,2.3326077335772123e-08,1.0,1.0
110,155.0,6.956539208737702,1.589373006610977e-07,0.7153556893917564,0.0752811593109281,0.07671548531586626,1.0,1.0
111,156.0,6.847252665163906,3.980755986584738e-08,0.010480037998556955,0.05913858427547932,0.023457901532997167,1.0,1.0
112,157.0,5.353786597096399,3.1243278431996656e-08,1.9122473857410234,0.0012252067545850782,0.09838173555882367,1.0,1.0
113,158.0,5.882280781327077,1.9580510014417467e-06,1.201152609472679,0.00047671446693530297,0.027479516342231298,1.0,1.0
114,159.0,5.47089248557054,2.826326845418878e-08,0.03953521680683085,1.2977285957306098e-08,0.07341050151001864,1.0,1.0
115,160.0,5.606439791926708,4.6126616069912257e-08,0.8226213693371571,1.1059694932874743e-08,0.007637920258906048,1.0,1.0
116,161.0,8.194093578452526,9.128126657984382e-07,0.3126609231118322,0.24071333612528104,0.1398826314318046,1.0,1.0
117,162.0,5.694417831008504,2.1668524072005878e-08,2.915422647726194,0.08351800031904039,0.01492882057308603,1.0,1.0
121,166.0,5.882315452157249,1.2787533320576054e-07,0.25424242676366804,0.003821886782471258,0.018055304129980215,1.0,1.0
122,167.0,6.880563005885959,3.0728680317478815e-08,2.0446188335666386,2.0138757611227952e-08,0.04656496141628343,1.0,1.0
123,168.0,5.038299828365856,2.8163837721063942e-08,1.1469675621031514,3.3322006110506394e-08,0.007852635471389336,1.0,1.0
126,172.0,5.994981359252131,9.75452411920389e-08,0.625419410039878,1.5961892281915302e-08,1.4722192732255244e-08,1.0,1.0
128,176.0,6.061004008833417,1.610465713585074e-08,0.7190626122848781,1.0364039040524374e-08,1.0465775206584183e-08,1.0,1.0
130,178.0,7.190126255098268,1.0971966435760624e-07,0.6218157009913852,0.08232611425063834,0.059493144655959694,1.0,1.0
